2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogRequest @@ ln 25 @@ LogRequest (-)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ LocationInfo/InsertLocationDetails.go @@ HOTEL-REGISTRY_API/apps/LocationInfo.InsertLocationDetailsAPI @@ ln 23 @@ InsertLocationDetailsAPI (+)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ LocationInfo/InsertLocationDetails.go @@ HOTEL-REGISTRY_API/apps/LocationInfo.InsertLocationDetails @@ ln 65 @@ InsertLocationDetails (+)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ LocationInfo/InsertLocationDetails.go @@ HOTEL-REGISTRY_API/apps/LocationInfo.CheckUidInTable @@ ln 122 @@ CheckUidInTable (+)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ LocationInfo/InsertLocationDetails.go @@ HOTEL-REGISTRY_API/apps/LocationInfo.CheckUidInTable @@ ln 156 @@ CheckUidInTable (+)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ LocationInfo/InsertLocationDetails.go @@ HOTEL-REGISTRY_API/apps/LocationInfo.UpdateLocationDetails @@ ln 100 @@ UpdateLocationDetails (+)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ LocationInfo/InsertLocationDetails.go @@ HOTEL-REGISTRY_API/apps/LocationInfo.UpdateLocationDetails @@ ln 113 @@ UpdateLocationDetails (-)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ LocationInfo/InsertLocationDetails.go @@ HOTEL-REGISTRY_API/apps/LocationInfo.InsertLocationDetails @@ ln 94 @@ InsertLocationDetails (-)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ LocationInfo/InsertLocationDetails.go @@ HOTEL-REGISTRY_API/apps/LocationInfo.InsertLocationDetailsAPI @@ ln 61 @@ InsertLocationDetailsAPI (-)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 73 @@ APIMiddleware (-)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogResponse @@ ln 32 @@ LogResponse (+)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 22 @@ GetAPIRequestDetail (+)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 42 @@ GetHeaderDetails+
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 50 @@ GetHeaderDetails-
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 36 @@ GetAPIRequestDetail (-)
2025/06/27 18:06:56 @@ a82d65f7ec0b444595fa2411b4805c97 @@ (  ) @@ ApiEntry/middlewareReqAndResp.go @@ HOTEL-REGISTRY_API/ApiEntry.LogResponse @@ ln 42 @@ LogResponse (-)
2025/06/27 18:06:56 @@ 3bd141b0139a44df9456b1c8bd5443a7 @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 45 @@ APIMiddleware (+)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/apiMiddleware.go @@ main.main.APIMiddleware.func1 @@ ln 45 @@ APIMiddleware (+)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetAPIRequestDetail @@ ln 22 @@ GetAPIRequestDetail (+)
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 42 @@ GetHeaderDetails+
2025/06/27 18:06:56 @@ 729da2d5dea44e67bdb7c87d4dbb0ebc @@ (  ) @@ ApiEntry/readRequest.go @@ HOTEL-REGISTRY_API/ApiEntry.GetHeaderDetails @@ ln 50 @@ GetHeaderDetails-
